item_id,category,item_name,packet_weight_grams
F0001,Fruits,Fresh Farms Watermelon,500
F0001,Fruits,Fresh Farms Watermelon,1000
F0002,Fruits,Sun Harvest Plum,1000
F0003,Fruits,Fresh Farms Banana,1000
F0004,Fruits,Fresh Farms Lemon,250
F0004,Fruits,Fresh Farms Lemon,500
F0004,Fruits,Fresh Farms Lemon,1000
F0004,Fruits,Fresh Farms Lemon,2000
F0005,Fruits,Organic Valley Watermelon,250
F0005,Fruits,Organic Valley Watermelon,500
F0005,Fruits,Organic Valley Watermelon,1000
F0006,Fruits,Green Fields Grapes,250
F0006,Fruits,Green Fields Grapes,500
F0006,Fruits,Green Fields Grapes,1000
F0006,Fruits,Green Fields Grapes,2000
F0007,Fruits,Green Fields Orange,250
F0007,Fruits,Green Fields Orange,500
F0007,Fruits,Green Fields Orange,1000
F0008,Fruits,Green Fields Plum,500
F0008,Fruits,Green Fields Plum,2000
F0009,Fruits,Green Fields Watermelon,2000
F0010,Fruits,Sun Harvest Cherry,500
F0010,Fruits,Sun Harvest Cherry,1000
F0010,Fruits,Sun Harvest Cherry,2000
F0011,Fruits,Fresh Farms Banana,250
F0011,Fruits,Fresh Farms Banana,500
F0011,Fruits,Fresh Farms Banana,1000
F0011,Fruits,Fresh Farms Banana,2000
F0012,Fruits,Sun Harvest Pear,250
F0012,Fruits,Sun Harvest Pear,500
F0013,Fruits,Green Fields Apple,2000
F0014,Fruits,Organic Valley Pear,500
F0015,Fruits,Fresh Farms Apple,500
F0016,Fruits,Nature's Best Lemon Classic,1000
F0017,Fruits,Green Fields Peach Special,500
F0017,Fruits,Green Fields Peach Special,1000
F0018,Fruits,Green Fields Apple Light,250
F0018,Fruits,Green Fields Apple Light,500
F0018,Fruits,Green Fields Apple Light,1000
F0019,Fruits,Organic Valley Orange Extra,250
F0019,Fruits,Organic Valley Orange Extra,1000
F0019,Fruits,Organic Valley Orange Extra,2000
F0020,Fruits,Nature's Best Kiwi Extra,250
F0020,Fruits,Nature's Best Kiwi Extra,1000
F0020,Fruits,Nature's Best Kiwi Extra,2000
F0021,Fruits,Organic Valley Grapes Light,250
F0021,Fruits,Organic Valley Grapes Light,500
F0021,Fruits,Organic Valley Grapes Light,1000
F0022,Fruits,Nature's Best Grapes Silver,250
F0022,Fruits,Nature's Best Grapes Silver,2000
F0023,Fruits,Sun Harvest Strawberry Super,250
F0023,Fruits,Sun Harvest Strawberry Super,500
F0023,Fruits,Sun Harvest Strawberry Super,1000
F0023,Fruits,Sun Harvest Strawberry Super,2000
F0024,Fruits,Organic Valley Plum Classic,250
F0025,Fruits,Fresh Farms Strawberry Extra,250
F0025,Fruits,Fresh Farms Strawberry Extra,500
F0025,Fruits,Fresh Farms Strawberry Extra,2000
F0026,Fruits,Fresh Farms Plum Premium,500
F0026,Fruits,Fresh Farms Plum Premium,2000
F0027,Fruits,Sun Harvest Pineapple Gold,500
F0027,Fruits,Sun Harvest Pineapple Gold,2000
F0028,Fruits,Fresh Farms Pear Light,250
F0029,Fruits,Nature's Best Peach Extra,250
F0029,Fruits,Nature's Best Peach Extra,500
F0029,Fruits,Nature's Best Peach Extra,1000
F0029,Fruits,Nature's Best Peach Extra,2000
F0030,Fruits,Fresh Farms Peach Classic,250
F0030,Fruits,Fresh Farms Peach Classic,500
F0030,Fruits,Fresh Farms Peach Classic,2000
F0031,Fruits,Nature's Best Blueberry Value,250
F0031,Fruits,Nature's Best Blueberry Value,2000
F0032,Fruits,Organic Valley Cherry Super,500
F0032,Fruits,Organic Valley Cherry Super,1000
F0033,Fruits,Nature's Best Watermelon Extra,1000
F0034,Fruits,Fresh Farms Blueberry Silver,250
F0034,Fruits,Fresh Farms Blueberry Silver,500
F0035,Fruits,Fresh Farms Banana Classic,1000
F0035,Fruits,Fresh Farms Banana Classic,2000
F0036,Fruits,Sun Harvest Mango Organic,250
F0036,Fruits,Sun Harvest Mango Organic,500
F0036,Fruits,Sun Harvest Mango Organic,1000
F0036,Fruits,Sun Harvest Mango Organic,2000
F0037,Fruits,Green Fields Pear Organic,250
F0037,Fruits,Green Fields Pear Organic,1000
F0038,Fruits,Organic Valley Strawberry Extra,250
F0038,Fruits,Organic Valley Strawberry Extra,500
F0038,Fruits,Organic Valley Strawberry Extra,1000
F0039,Fruits,Sun Harvest Plum Classic,250
F0039,Fruits,Sun Harvest Plum Classic,1000
F0039,Fruits,Sun Harvest Plum Classic,2000
F0040,Fruits,Fresh Farms Blueberry Value,500
F0041,Fruits,Green Fields Cherry Classic,250
F0041,Fruits,Green Fields Cherry Classic,500
F0041,Fruits,Green Fields Cherry Classic,1000
F0041,Fruits,Green Fields Cherry Classic,2000
F0042,Fruits,Green Fields Pear Light,250
F0042,Fruits,Green Fields Pear Light,500
F0043,Fruits,Nature's Best Banana Silver,500
F0043,Fruits,Nature's Best Banana Silver,1000
F0043,Fruits,Nature's Best Banana Silver,2000
F0044,Fruits,Green Fields Grapes Premium,1000
F0044,Fruits,Green Fields Grapes Premium,2000
F0045,Fruits,Nature's Best Mango Light,250
F0045,Fruits,Nature's Best Mango Light,500
F0045,Fruits,Nature's Best Mango Light,1000
F0045,Fruits,Nature's Best Mango Light,2000
F0046,Fruits,Fresh Farms Mango Extra,500
F0046,Fruits,Fresh Farms Mango Extra,2000
F0047,Fruits,Organic Valley Orange Deluxe,500
F0047,Fruits,Organic Valley Orange Deluxe,1000
F0047,Fruits,Organic Valley Orange Deluxe,2000
F0048,Fruits,Fresh Farms Apple Silver,500
F0049,Fruits,Nature's Best Lemon Deluxe,500
F0050,Fruits,Green Fields Plum Extra,1000
F0051,Fruits,Organic Valley Apple Special,250
F0051,Fruits,Organic Valley Apple Special,500
F0052,Fruits,Nature's Best Pear Organic,500
F0052,Fruits,Nature's Best Pear Organic,1000
F0053,Fruits,Green Fields Pear Deluxe,250
F0053,Fruits,Green Fields Pear Deluxe,500
F0053,Fruits,Green Fields Pear Deluxe,1000
F0054,Fruits,Nature's Best Apple Organic,250
F0054,Fruits,Nature's Best Apple Organic,1000
F0055,Fruits,Organic Valley Cherry Super,250
F0055,Fruits,Organic Valley Cherry Super,500
F0055,Fruits,Organic Valley Cherry Super,1000
F0055,Fruits,Organic Valley Cherry Super,2000
F0056,Fruits,Green Fields Apple Organic,2000
F0057,Fruits,Green Fields Plum Silver,500
F0058,Fruits,Nature's Best Lemon Organic,500
F0058,Fruits,Nature's Best Lemon Organic,1000
F0058,Fruits,Nature's Best Lemon Organic,2000
F0059,Fruits,Fresh Farms Apple Value,250
F0059,Fruits,Fresh Farms Apple Value,500
F0059,Fruits,Fresh Farms Apple Value,1000
F0060,Fruits,Organic Valley Orange Premium,250
F0060,Fruits,Organic Valley Orange Premium,500
F0060,Fruits,Organic Valley Orange Premium,1000
F0060,Fruits,Organic Valley Orange Premium,2000
F0061,Fruits,Green Fields Cherry Silver,250
F0061,Fruits,Green Fields Cherry Silver,500
F0061,Fruits,Green Fields Cherry Silver,1000
F0061,Fruits,Green Fields Cherry Silver,2000
F0062,Fruits,Green Fields Grapes Organic,500
F0063,Fruits,Organic Valley Grapes Extra,500
F0063,Fruits,Organic Valley Grapes Extra,2000
F0064,Fruits,Organic Valley Peach Premium,1000
F0064,Fruits,Organic Valley Peach Premium,2000
F0065,Fruits,Organic Valley Pear Super,500
F0065,Fruits,Organic Valley Pear Super,1000
F0065,Fruits,Organic Valley Pear Super,2000
F0066,Fruits,Sun Harvest Blueberry Light,1000
F0066,Fruits,Sun Harvest Blueberry Light,2000
F0067,Fruits,Sun Harvest Pear Value,250
F0067,Fruits,Sun Harvest Pear Value,500
F0067,Fruits,Sun Harvest Pear Value,2000
F0068,Fruits,Fresh Farms Cherry Light,250
F0068,Fruits,Fresh Farms Cherry Light,500
F0068,Fruits,Fresh Farms Cherry Light,1000
F0068,Fruits,Fresh Farms Cherry Light,2000
F0069,Fruits,Nature's Best Apple Classic,250
F0069,Fruits,Nature's Best Apple Classic,2000
F0070,Fruits,Green Fields Peach Light,250
F0070,Fruits,Green Fields Peach Light,500
F0070,Fruits,Green Fields Peach Light,1000
F0070,Fruits,Green Fields Peach Light,2000
F0071,Fruits,Green Fields Blueberry Silver,2000
F0072,Fruits,Nature's Best Apple Premium,250
F0072,Fruits,Nature's Best Apple Premium,500
F0072,Fruits,Nature's Best Apple Premium,1000
F0073,Fruits,Nature's Best Lemon Super,250
F0073,Fruits,Nature's Best Lemon Super,500
F0073,Fruits,Nature's Best Lemon Super,1000
F0073,Fruits,Nature's Best Lemon Super,2000
F0074,Fruits,Nature's Best Grapes Light,250
F0074,Fruits,Nature's Best Grapes Light,2000
F0075,Fruits,Sun Harvest Kiwi Super,250
F0075,Fruits,Sun Harvest Kiwi Super,2000
F0076,Fruits,Organic Valley Mango Gold,500
F0076,Fruits,Organic Valley Mango Gold,2000
F0077,Fruits,Organic Valley Mango Special,2000
F0078,Fruits,Green Fields Orange Light,250
F0078,Fruits,Green Fields Orange Light,500
F0078,Fruits,Green Fields Orange Light,1000
F0078,Fruits,Green Fields Orange Light,2000
F0079,Fruits,Fresh Farms Plum Extra,250
F0079,Fruits,Fresh Farms Plum Extra,500
F0079,Fruits,Fresh Farms Plum Extra,1000
F0079,Fruits,Fresh Farms Plum Extra,2000
F0080,Fruits,Fresh Farms Blueberry Silver,250
F0080,Fruits,Fresh Farms Blueberry Silver,500
F0080,Fruits,Fresh Farms Blueberry Silver,1000
F0081,Fruits,Sun Harvest Orange Deluxe,250
F0081,Fruits,Sun Harvest Orange Deluxe,500
F0081,Fruits,Sun Harvest Orange Deluxe,1000
F0081,Fruits,Sun Harvest Orange Deluxe,2000
F0082,Fruits,Fresh Farms Strawberry Light,250
F0082,Fruits,Fresh Farms Strawberry Light,1000
F0082,Fruits,Fresh Farms Strawberry Light,2000
F0083,Fruits,Fresh Farms Banana Super,2000
F0084,Fruits,Sun Harvest Strawberry Value,500
F0085,Fruits,Nature's Best Pear Light,250
F0085,Fruits,Nature's Best Pear Light,500
F0086,Fruits,Fresh Farms Banana Organic,250
F0087,Fruits,Green Fields Apple Gold,250
F0087,Fruits,Green Fields Apple Gold,500
F0087,Fruits,Green Fields Apple Gold,1000
F0087,Fruits,Green Fields Apple Gold,2000
F0088,Fruits,Nature's Best Apple Organic,250
F0088,Fruits,Nature's Best Apple Organic,500
F0088,Fruits,Nature's Best Apple Organic,1000
F0088,Fruits,Nature's Best Apple Organic,2000
F0089,Fruits,Green Fields Pear Special,2000
F0090,Fruits,Green Fields Watermelon Gold,500
F0091,Fruits,Fresh Farms Grapes Silver,250
F0091,Fruits,Fresh Farms Grapes Silver,1000
F0092,Fruits,Green Fields Watermelon Value,250
F0092,Fruits,Green Fields Watermelon Value,500
F0093,Fruits,Fresh Farms Banana Silver,250
F0093,Fruits,Fresh Farms Banana Silver,500
F0093,Fruits,Fresh Farms Banana Silver,1000
F0094,Fruits,Sun Harvest Blueberry Gold,500
F0094,Fruits,Sun Harvest Blueberry Gold,1000
F0094,Fruits,Sun Harvest Blueberry Gold,2000
F0095,Fruits,Green Fields Plum Organic,500
F0095,Fruits,Green Fields Plum Organic,2000
F0096,Fruits,Green Fields Apple Extra,250
F0096,Fruits,Green Fields Apple Extra,1000
F0097,Fruits,Green Fields Pear Silver,2000
F0098,Fruits,Organic Valley Apple Classic,250
F0099,Fruits,Sun Harvest Apple Deluxe,1000
F0100,Fruits,Organic Valley Lemon Classic,250
F0100,Fruits,Organic Valley Lemon Classic,500
F0100,Fruits,Organic Valley Lemon Classic,1000
F0100,Fruits,Organic Valley Lemon Classic,2000
F0101,Fruits,Fresh Farms Cherry Classic,1000
F0101,Fruits,Fresh Farms Cherry Classic,2000
F0102,Fruits,Organic Valley Cherry Gold,2000
F0103,Fruits,Organic Valley Watermelon Organic,500
F0104,Fruits,Nature's Best Peach Extra,2000
F0105,Fruits,Nature's Best Apple Premium,250
F0105,Fruits,Nature's Best Apple Premium,1000
F0106,Fruits,Nature's Best Kiwi Deluxe,500
F0106,Fruits,Nature's Best Kiwi Deluxe,1000
F0107,Fruits,Sun Harvest Kiwi Gold,1000
F0108,Fruits,Sun Harvest Cherry Super,250
F0108,Fruits,Sun Harvest Cherry Super,500
F0108,Fruits,Sun Harvest Cherry Super,1000
F0108,Fruits,Sun Harvest Cherry Super,2000
F0109,Fruits,Nature's Best Grapes Deluxe,250
F0109,Fruits,Nature's Best Grapes Deluxe,500
F0109,Fruits,Nature's Best Grapes Deluxe,1000
F0109,Fruits,Nature's Best Grapes Deluxe,2000
F0110,Fruits,Nature's Best Lemon Light,1000
F0111,Fruits,Organic Valley Cherry Extra,250
F0111,Fruits,Organic Valley Cherry Extra,500
F0111,Fruits,Organic Valley Cherry Extra,2000
F0112,Fruits,Nature's Best Banana Light,1000
F0113,Fruits,Organic Valley Cherry Deluxe,500
F0113,Fruits,Organic Valley Cherry Deluxe,1000
F0114,Fruits,Sun Harvest Mango Special,500
F0114,Fruits,Sun Harvest Mango Special,1000
F0114,Fruits,Sun Harvest Mango Special,2000
F0115,Fruits,Nature's Best Orange Silver,250
F0115,Fruits,Nature's Best Orange Silver,500
F0115,Fruits,Nature's Best Orange Silver,2000
F0116,Fruits,Fresh Farms Banana Super,250
F0116,Fruits,Fresh Farms Banana Super,500
F0117,Fruits,Nature's Best Peach Light,250
F0117,Fruits,Nature's Best Peach Light,1000
F0117,Fruits,Nature's Best Peach Light,2000
F0118,Fruits,Green Fields Plum Silver,2000
F0119,Fruits,Fresh Farms Apple Deluxe,250
F0119,Fruits,Fresh Farms Apple Deluxe,500
F0119,Fruits,Fresh Farms Apple Deluxe,1000
F0119,Fruits,Fresh Farms Apple Deluxe,2000
F0120,Fruits,Fresh Farms Grapes Gold,250
F0120,Fruits,Fresh Farms Grapes Gold,500
F0120,Fruits,Fresh Farms Grapes Gold,2000
F0121,Fruits,Sun Harvest Watermelon Gold,250
F0121,Fruits,Sun Harvest Watermelon Gold,500
F0121,Fruits,Sun Harvest Watermelon Gold,1000
F0121,Fruits,Sun Harvest Watermelon Gold,2000
F0122,Fruits,Nature's Best Apple Extra,250
F0122,Fruits,Nature's Best Apple Extra,500
F0122,Fruits,Nature's Best Apple Extra,1000
F0123,Fruits,Sun Harvest Peach Classic,500
