item_id,category,item_name,packet_weight_grams
F0001,Fruits,Sun Harvest Apple,200
F0001,Fruits,Sun Harvest Apple,500
F0002,Fruits,Fresh Farms Banana,200
F0002,Fruits,Fresh Farms Banana,500
F0003,Fruits,Organic Valley Orange,200
F0003,Fruits,Organic Valley Orange,500
F0004,Fruits,Organic Valley Grapes,200
F0004,Fruits,Organic Valley Grapes,500
F0005,Fruits,Fresh Farms Strawberry,200
F0005,Fruits,Fresh Farms Strawberry,500
F0006,Fruits,Fresh Farms Blueberry,200
F0006,Fruits,Fresh Farms Blueberry,500
F0007,Fruits,Nature's Best Mango,200
F0007,Fruits,Nature's Best Mango,500
F0008,Fruits,Green Fields Pineapple,200
F0008,Fruits,Green Fields Pineapple,500
F0009,Fruits,Green Fields Watermelon,200
F0009,Fruits,Green Fields Watermelon,500
F0010,Fruits,Nature's Best Kiwi,200
F0010,Fruits,Nature's Best Kiwi,500
F0011,Fruits,Nature's Best Peach,200
F0011,Fruits,Nature's Best Peach,500
F0012,Fruits,Nature's Best Pear,200
F0012,Fruits,Nature's Best Pear,500
F0013,Fruits,Sun Harvest Cherry,200
F0013,Fruits,Sun Harvest Cherry,500
F0014,Fruits,Sun Harvest Plum,200
F0014,Fruits,Sun Harvest Plum,500
F0015,Fruits,Sun Harvest Lemon,200
F0015,Fruits,Sun Harvest Lemon,500
F0016,Fruits,Organic Valley Lime,200
F0016,Fruits,Organic Valley Lime,500
F0017,Fruits,Green Fields Raspberry,200
F0017,Fruits,Green Fields Raspberry,500
F0018,Fruits,Nature's Best Blackberry,200
F0018,Fruits,Nature's Best Blackberry,500
F0019,Fruits,Organic Valley Apricot,200
F0019,Fruits,Organic Valley Apricot,500
F0020,Fruits,Fresh Farms Coconut,200
F0020,Fruits,Fresh Farms Coconut,500
F0021,Fruits,Green Fields Pomegranate,200
F0021,Fruits,Green Fields Pomegranate,500
F0022,Fruits,Nature's Best Fig,200
F0022,Fruits,Nature's Best Fig,500
F0023,Fruits,Fresh Farms Guava,200
F0023,Fruits,Fresh Farms Guava,500
F0024,Fruits,Nature's Best Papaya,200
F0024,Fruits,Nature's Best Papaya,500
F0025,Fruits,Green Fields Passion Fruit,200
F0025,Fruits,Green Fields Passion Fruit,500
F0026,Fruits,Nature's Best Dragon Fruit,200
F0026,Fruits,Nature's Best Dragon Fruit,500
F0027,Fruits,Green Fields Lychee,200
F0027,Fruits,Green Fields Lychee,500
F0028,Fruits,Sun Harvest Avocado,200
F0028,Fruits,Sun Harvest Avocado,500
F0029,Fruits,Organic Valley Gourmet Apple,200
F0029,Fruits,Organic Valley Gourmet Apple,500
F0030,Fruits,Nature's Best Natural Banana,200
F0030,Fruits,Nature's Best Natural Banana,500
F0031,Fruits,Fresh Farms Gourmet Orange,200
F0031,Fruits,Fresh Farms Gourmet Orange,500
F0032,Fruits,Green Fields Homestyle Grapes,200
F0032,Fruits,Green Fields Homestyle Grapes,500
F0033,Fruits,Organic Valley Extra Strawberry,200
F0033,Fruits,Organic Valley Extra Strawberry,500
F0034,Fruits,Fresh Farms Premium Blueberry,200
F0034,Fruits,Fresh Farms Premium Blueberry,500
F0035,Fruits,Sun Harvest Extra Mango,200
F0035,Fruits,Sun Harvest Extra Mango,500
F0036,Fruits,Green Fields Organic Pineapple,200
F0036,Fruits,Green Fields Organic Pineapple,500
F0037,Fruits,Sun Harvest Traditional Watermelon,200
F0037,Fruits,Sun Harvest Traditional Watermelon,500
F0038,Fruits,Organic Valley Artisan Kiwi,200
F0038,Fruits,Organic Valley Artisan Kiwi,500
F0039,Fruits,Green Fields Super Peach,200
F0039,Fruits,Green Fields Super Peach,500
F0040,Fruits,Fresh Farms Silver Pear,200
F0040,Fruits,Fresh Farms Silver Pear,500
F0041,Fruits,Organic Valley Pure Cherry,200
F0041,Fruits,Organic Valley Pure Cherry,500
F0042,Fruits,Organic Valley Wild Plum,200
F0042,Fruits,Organic Valley Wild Plum,500
F0043,Fruits,Nature's Best Extra Lemon,200
F0043,Fruits,Nature's Best Extra Lemon,500
F0044,Fruits,Organic Valley Organic Lime,200
F0044,Fruits,Organic Valley Organic Lime,500
F0045,Fruits,Green Fields Gold Raspberry,200
F0045,Fruits,Green Fields Gold Raspberry,500
F0046,Fruits,Green Fields Deluxe Blackberry,200
F0046,Fruits,Green Fields Deluxe Blackberry,500
F0047,Fruits,Nature's Best Original Apricot,200
F0047,Fruits,Nature's Best Original Apricot,500
F0048,Fruits,Fresh Farms Special Coconut,200
F0048,Fruits,Fresh Farms Special Coconut,500
F0049,Fruits,Sun Harvest Artisan Pomegranate,200
F0049,Fruits,Sun Harvest Artisan Pomegranate,500
F0050,Fruits,Fresh Farms Signature Fig,200
F0050,Fruits,Fresh Farms Signature Fig,500
F0051,Fruits,Nature's Best Fresh Guava,200
F0051,Fruits,Nature's Best Fresh Guava,500
F0052,Fruits,Fresh Farms Wild Papaya,200
F0052,Fruits,Fresh Farms Wild Papaya,500
F0053,Fruits,Fresh Farms Premium Passion Fruit,200
F0053,Fruits,Fresh Farms Premium Passion Fruit,500
F0054,Fruits,Fresh Farms Gold Dragon Fruit,200
F0054,Fruits,Fresh Farms Gold Dragon Fruit,500
F0055,Fruits,Fresh Farms Wild Lychee,200
F0055,Fruits,Fresh Farms Wild Lychee,500
F0056,Fruits,Green Fields Artisan Avocado,200
F0056,Fruits,Green Fields Artisan Avocado,500
F0057,Fruits,Green Fields Wild Apple,200
F0057,Fruits,Green Fields Wild Apple,500
F0058,Fruits,Fresh Farms Natural Banana,200
F0058,Fruits,Fresh Farms Natural Banana,500
F0059,Fruits,Nature's Best Light Orange,200
F0059,Fruits,Nature's Best Light Orange,500
F0060,Fruits,Fresh Farms Special Grapes,200
F0060,Fruits,Fresh Farms Special Grapes,500
F0061,Fruits,Sun Harvest Classic Strawberry,200
F0061,Fruits,Sun Harvest Classic Strawberry,500
F0062,Fruits,Fresh Farms Wild Blueberry,200
F0062,Fruits,Fresh Farms Wild Blueberry,500
F0063,Fruits,Green Fields Signature Mango,200
F0063,Fruits,Green Fields Signature Mango,500
F0064,Fruits,Fresh Farms Wild Pineapple,200
F0064,Fruits,Fresh Farms Wild Pineapple,500
F0065,Fruits,Sun Harvest Pure Watermelon,200
F0065,Fruits,Sun Harvest Pure Watermelon,500
F0066,Fruits,Organic Valley Artisan Kiwi,200
F0066,Fruits,Organic Valley Artisan Kiwi,500
F0067,Fruits,Fresh Farms Traditional Peach,200
F0067,Fruits,Fresh Farms Traditional Peach,500
F0068,Fruits,Fresh Farms Wild Pear,200
F0068,Fruits,Fresh Farms Wild Pear,500
F0069,Fruits,Fresh Farms Super Cherry,200
F0069,Fruits,Fresh Farms Super Cherry,500
F0070,Fruits,Green Fields Light Plum,200
F0070,Fruits,Green Fields Light Plum,500
F0071,Fruits,Nature's Best Signature Lemon,200
F0071,Fruits,Nature's Best Signature Lemon,500
F0072,Fruits,Sun Harvest Gourmet Lime,200
F0072,Fruits,Sun Harvest Gourmet Lime,500
F0073,Fruits,Green Fields Extra Raspberry,200
F0073,Fruits,Green Fields Extra Raspberry,500
F0074,Fruits,Sun Harvest Value Blackberry,200
F0074,Fruits,Sun Harvest Value Blackberry,500
F0075,Fruits,Organic Valley Super Apricot,200
F0075,Fruits,Organic Valley Super Apricot,500
F0076,Fruits,Green Fields Classic Coconut,200
F0076,Fruits,Green Fields Classic Coconut,500
F0077,Fruits,Green Fields Light Pomegranate,200
F0077,Fruits,Green Fields Light Pomegranate,500
F0078,Fruits,Sun Harvest Homestyle Fig,200
F0078,Fruits,Sun Harvest Homestyle Fig,500
F0079,Fruits,Green Fields Light Guava,200
F0079,Fruits,Green Fields Light Guava,500
F0080,Fruits,Sun Harvest Traditional Papaya,200
F0080,Fruits,Sun Harvest Traditional Papaya,500
F0081,Fruits,Nature's Best Fresh Passion Fruit,200
F0081,Fruits,Nature's Best Fresh Passion Fruit,500
F0082,Fruits,Fresh Farms Pure Dragon Fruit,200
F0082,Fruits,Fresh Farms Pure Dragon Fruit,500
F0083,Fruits,Fresh Farms Premium Lychee,200
F0083,Fruits,Fresh Farms Premium Lychee,500
F0084,Fruits,Sun Harvest Premium Avocado,200
F0084,Fruits,Sun Harvest Premium Avocado,500
F0085,Fruits,Nature's Best Signature Apple,200
F0085,Fruits,Nature's Best Signature Apple,500
F0086,Fruits,Organic Valley Premium Banana,200
F0086,Fruits,Organic Valley Premium Banana,500
F0087,Fruits,Sun Harvest Traditional Orange,200
F0087,Fruits,Sun Harvest Traditional Orange,500
F0088,Fruits,Sun Harvest Deluxe Grapes,200
F0088,Fruits,Sun Harvest Deluxe Grapes,500
F0089,Fruits,Organic Valley Gourmet Strawberry,200
F0089,Fruits,Organic Valley Gourmet Strawberry,500
F0090,Fruits,Nature's Best Value Blueberry,200
F0090,Fruits,Nature's Best Value Blueberry,500
F0091,Fruits,Nature's Best Signature Mango,200
F0091,Fruits,Nature's Best Signature Mango,500
F0092,Fruits,Sun Harvest Natural Pineapple,200
F0092,Fruits,Sun Harvest Natural Pineapple,500
F0093,Fruits,Organic Valley Silver Watermelon,200
F0093,Fruits,Organic Valley Silver Watermelon,500
F0094,Fruits,Organic Valley Organic Kiwi,200
F0094,Fruits,Organic Valley Organic Kiwi,500
F0095,Fruits,Sun Harvest Classic Peach,200
F0095,Fruits,Sun Harvest Classic Peach,500
F0096,Fruits,Nature's Best Classic Pear,200
F0096,Fruits,Nature's Best Classic Pear,500
F0097,Fruits,Green Fields Natural Cherry,200
F0097,Fruits,Green Fields Natural Cherry,500
F0098,Fruits,Nature's Best Classic Plum,200
F0098,Fruits,Nature's Best Classic Plum,500
F0099,Fruits,Organic Valley Signature Lemon,200
F0099,Fruits,Organic Valley Signature Lemon,500
F0100,Fruits,Sun Harvest Premium Lime,200
F0100,Fruits,Sun Harvest Premium Lime,500
F0101,Fruits,Nature's Best Artisan Raspberry,200
F0101,Fruits,Nature's Best Artisan Raspberry,500
F0102,Fruits,Fresh Farms Value Blackberry,200
F0102,Fruits,Fresh Farms Value Blackberry,500
F0103,Fruits,Organic Valley Homestyle Apricot,200
F0103,Fruits,Organic Valley Homestyle Apricot,500
F0104,Fruits,Organic Valley Wild Coconut,200
F0104,Fruits,Organic Valley Wild Coconut,500
F0105,Fruits,Nature's Best Pure Pomegranate,200
F0105,Fruits,Nature's Best Pure Pomegranate,500
F0106,Fruits,Fresh Farms Pure Fig,200
F0106,Fruits,Fresh Farms Pure Fig,500
F0107,Fruits,Fresh Farms Premium Guava,200
F0107,Fruits,Fresh Farms Premium Guava,500
F0108,Fruits,Nature's Best Pure Papaya,200
F0108,Fruits,Nature's Best Pure Papaya,500
F0109,Fruits,Organic Valley Original Passion Fruit,200
F0109,Fruits,Organic Valley Original Passion Fruit,500
F0110,Fruits,Nature's Best Homestyle Dragon Fruit,200
F0110,Fruits,Nature's Best Homestyle Dragon Fruit,500
F0111,Fruits,Fresh Farms Super Lychee,200
F0111,Fruits,Fresh Farms Super Lychee,500
F0112,Fruits,Organic Valley Homestyle Avocado,200
F0112,Fruits,Organic Valley Homestyle Avocado,500
F0113,Fruits,Sun Harvest Original Apple,200
F0113,Fruits,Sun Harvest Original Apple,500
F0114,Fruits,Organic Valley Special Banana,200
F0114,Fruits,Organic Valley Special Banana,500
F0115,Fruits,Nature's Best Extra Orange,200
F0115,Fruits,Nature's Best Extra Orange,500
F0116,Fruits,Green Fields Natural Grapes,200
F0116,Fruits,Green Fields Natural Grapes,500
F0117,Fruits,Green Fields Light Strawberry,200
F0117,Fruits,Green Fields Light Strawberry,500
F0118,Fruits,Nature's Best Deluxe Blueberry,200
F0118,Fruits,Nature's Best Deluxe Blueberry,500
F0119,Fruits,Fresh Farms Extra Mango,200
F0119,Fruits,Fresh Farms Extra Mango,500
F0120,Fruits,Sun Harvest Gold Pineapple,200
F0120,Fruits,Sun Harvest Gold Pineapple,500
F0121,Fruits,Sun Harvest Pure Watermelon,200
F0121,Fruits,Sun Harvest Pure Watermelon,500
F0122,Fruits,Sun Harvest Deluxe Kiwi,200
F0122,Fruits,Sun Harvest Deluxe Kiwi,500
F0123,Fruits,Organic Valley Extra Peach,200
F0123,Fruits,Organic Valley Extra Peach,500
F0124,Fruits,Green Fields Extra Pear,200
F0124,Fruits,Green Fields Extra Pear,500
F0125,Fruits,Green Fields Classic Cherry,200
F0125,Fruits,Green Fields Classic Cherry,500
F0126,Fruits,Organic Valley Gourmet Plum,200
F0126,Fruits,Organic Valley Gourmet Plum,500
F0127,Fruits,Green Fields Extra Lemon,200
F0127,Fruits,Green Fields Extra Lemon,500
F0128,Fruits,Green Fields Traditional Lime,200
F0128,Fruits,Green Fields Traditional Lime,500
F0129,Fruits,Nature's Best Gourmet Raspberry,200
F0129,Fruits,Nature's Best Gourmet Raspberry,500
F0130,Fruits,Sun Harvest Natural Blackberry,200
F0130,Fruits,Sun Harvest Natural Blackberry,500
F0131,Fruits,Nature's Best Signature Apricot,200
F0131,Fruits,Nature's Best Signature Apricot,500
F0132,Fruits,Fresh Farms Special Coconut,200
F0132,Fruits,Fresh Farms Special Coconut,500
F0133,Fruits,Organic Valley Light Pomegranate,200
F0133,Fruits,Organic Valley Light Pomegranate,500
F0134,Fruits,Fresh Farms Silver Fig,200
F0134,Fruits,Fresh Farms Silver Fig,500
F0135,Fruits,Sun Harvest Light Guava,200
F0135,Fruits,Sun Harvest Light Guava,500
F0136,Fruits,Organic Valley Deluxe Papaya,200
F0136,Fruits,Organic Valley Deluxe Papaya,500
F0137,Fruits,Green Fields Wild Passion Fruit,200
F0137,Fruits,Green Fields Wild Passion Fruit,500
F0138,Fruits,Green Fields Extra Dragon Fruit,200
F0138,Fruits,Green Fields Extra Dragon Fruit,500
F0139,Fruits,Green Fields Super Lychee,200
F0139,Fruits,Green Fields Super Lychee,500
F0140,Fruits,Fresh Farms Signature Avocado,200
F0140,Fruits,Fresh Farms Signature Avocado,500
F0141,Fruits,Organic Valley Silver Apple,200
F0141,Fruits,Organic Valley Silver Apple,500
F0142,Fruits,Nature's Best Extra Banana,200
F0142,Fruits,Nature's Best Extra Banana,500
F0143,Fruits,Green Fields Homestyle Orange,200
F0143,Fruits,Green Fields Homestyle Orange,500
F0144,Fruits,Nature's Best Classic Grapes,200
F0144,Fruits,Nature's Best Classic Grapes,500
F0145,Fruits,Nature's Best Pure Strawberry,200
F0145,Fruits,Nature's Best Pure Strawberry,500
F0146,Fruits,Organic Valley Signature Blueberry,200
F0146,Fruits,Organic Valley Signature Blueberry,500
F0147,Fruits,Green Fields Super Mango,200
F0147,Fruits,Green Fields Super Mango,500
F0148,Fruits,Organic Valley Traditional Pineapple,200
F0148,Fruits,Organic Valley Traditional Pineapple,500
F0149,Fruits,Fresh Farms Natural Watermelon,200
F0149,Fruits,Fresh Farms Natural Watermelon,500
F0150,Fruits,Fresh Farms Natural Kiwi,200
F0150,Fruits,Fresh Farms Natural Kiwi,500
F0151,Fruits,Nature's Best Extra Peach,200
F0151,Fruits,Nature's Best Extra Peach,500
F0152,Fruits,Green Fields Gold Pear,200
F0152,Fruits,Green Fields Gold Pear,500
F0153,Fruits,Organic Valley Extra Cherry,200
F0153,Fruits,Organic Valley Extra Cherry,500
F0154,Fruits,Fresh Farms Silver Plum,200
F0154,Fruits,Fresh Farms Silver Plum,500
F0155,Fruits,Nature's Best Natural Lemon,200
F0155,Fruits,Nature's Best Natural Lemon,500
F0156,Fruits,Nature's Best Special Lime,200
F0156,Fruits,Nature's Best Special Lime,500
F0157,Fruits,Fresh Farms Deluxe Raspberry,200
F0157,Fruits,Fresh Farms Deluxe Raspberry,500
F0158,Fruits,Nature's Best Gold Blackberry,200
F0158,Fruits,Nature's Best Gold Blackberry,500
F0159,Fruits,Organic Valley Premium Apricot,200
F0159,Fruits,Organic Valley Premium Apricot,500
F0160,Fruits,Organic Valley Signature Coconut,200
F0160,Fruits,Organic Valley Signature Coconut,500
F0161,Fruits,Sun Harvest Natural Pomegranate,200
F0161,Fruits,Sun Harvest Natural Pomegranate,500
F0162,Fruits,Organic Valley Super Fig,200
F0162,Fruits,Organic Valley Super Fig,500
F0163,Fruits,Fresh Farms Extra Guava,200
F0163,Fruits,Fresh Farms Extra Guava,500
F0164,Fruits,Nature's Best Signature Papaya,200
F0164,Fruits,Nature's Best Signature Papaya,500
F0165,Fruits,Sun Harvest Original Passion Fruit,200
F0165,Fruits,Sun Harvest Original Passion Fruit,500
F0166,Fruits,Organic Valley Pure Dragon Fruit,200
F0166,Fruits,Organic Valley Pure Dragon Fruit,500
F0167,Fruits,Organic Valley Natural Lychee,200
F0167,Fruits,Organic Valley Natural Lychee,500
F0168,Fruits,Fresh Farms Signature Avocado,200
